abide,respecter,37
about,sur,1737
above,au dessus,147
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,47
according,selon,45
account,Compte,46
accuse,accuser,47
acquainted,connaissance,40
action,action,234
advantage,avantage,72
advice,Conseil,43
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,41
after,après,420
afterwards,ensuite,38
again,encore,769
alive,vivant,91
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,148
although,bien que,79
always,toujours,63
ambition,ambition,48
ancient,ancien,82
angel,ange,1083
anger,colère,60
another,un autre,455
answer,répondre,426
anything,n'importe quoi,105
apparel,vêtements,40
appear,apparaître,150
appears,apparaît,200
approach,approche,77
argument,argument,78
ariel,Ariel,93
armour,armure,41
aside,de côté,466
asleep,endormi,60
assure,assurer,50
athens,Athènes,72
attend,assister,119
attended,assisté,45
authority,autorité,55
avoid,éviter,38
awake,éveillé,78
awhile,quelque temps,102
banish,bannir,127
barren,Dénudé,41
bassianus,bassianus,45
bastard,Connard,208
battle,bataille,118
beard,barbe,108
bearing,palier,73
bears,ours,1718
beast,la bête,73
beaten,battu,50
beauty,beauté,233
because,car,1080
become,devenir,142
bedford,Bedford,49
before,avant,911
beggar,mendiant,77
begin,commencer,113
behalf,nom,107
behind,derrière,120
behold,voir,164
being,étant,664
believe,croyez,240
belike,être comme,42
below,au dessous de,54
benefit,avantage,111
besides,outre,115
betray,trahir,57
better,mieux,595
between,entre,409
beyond,au-delà,60
birth,naissance,127
bishop,évêque,48
bitter,amer,93
black,noir,173
blame,faire des reproches,83
bless,bénir,119
blessing,bénédiction,47
blest,heureux,55
blind,aveugle,85
blood,du sang,667
blows,coups,71
blunt,cru,248
blush,rougir,56
bodies,corps,54
bones,des os,76
borne,supporté,83
bottom,bas,553
bought,acheté,51
bound,lié,178
bounty,prime,64
brain,cerveau,95
brains,cerveaux,45
brave,courageux,160
breast,Sein,98
breath,souffle,230
breed,race,915
brief,bref,92
bright,brillant,72
bring,apporter,449
broke,cassé,87
brook,ruisseau,84
brother,frère,645
brought,apporté,196
brows,sourcils,45
burden,fardeau,48
buried,enterré,57
burning,brûlant,51
business,Entreprise,232
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,178
cardinal,cardinal,167
cares,se soucie,36
carry,porter,562
castle,Château,107
catch,capture,76
cause,cause,360
cease,cesser,47
certain,certain,230
chain,chaîne,67
chair,chaise,40
challenge,défi,48
chamber,chambre,126
chance,chance,200
change,changement,157
charge,charge,269
charity,charité,55
chaste,chaste,46
cheek,joue,79
cheer,acclamation,82
chide,gronder,49
chief,chef,108
child,enfant,242
choice,choix,70
church,église,66
cinna,cinna,40
citizen,citoyenne,186
civil,civil,67
claim,prétendre,64
clarence,clarté,211
claud,claud,125
claudio,Claudio,180
clear,clair,66
clifford,Clifford,140
close,proche,265
cloten,cailloter,110
clothes,vêtements,80
clouds,des nuages,59
clown,pitre,350
college,Université,226
colour,Couleur,90
comes,vient,617
comfort,confort,188
coming,venir,300
cominius,cominius,104
command,commander,192
commanded,commandé,40
commend,saluer,90
commercial,commercial,221
commission,commission,52
commit,commettre,40
common,commun,167
companion,un compagnon,37
company,entreprise,206
complete,Achevée,246
complexion,complexion,47
condition,état,59
conduct,conduite,48
confess,avouer,146
conscience,conscience,127
consent,consentement,94
consider,considérer,58
constable,gendarme,87
constant,constant,70
contempt,mépris,47
content,contenu,158
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,627
council,conseil,51
counsel,Conseil,178
count,compter,132
counterfeit,contrefaire,55
countess,comtesse,121
country,pays,210
courage,courage,244
course,cours,258
court,tribunal,266
courtesy,courtoisie,65
cousin,cousin,283
coward,lâche,86
crave,demander,42
creature,créature,72
credit,crédit,51
cromwell,Cromwell,44
cross,traverser,101
crown,couronne,303
cruel,cruel,100
